cell_id,mu2,sigma,time,phi_root_deg,phi_cohort_deg,eta1_actual,eta2_actual,eta1_ideal,eta2_ideal,eta1_root_fixed,eta2_root_fixed,eta1_cohort_fixed,eta2_cohort_fixed
mu2_1p800__sigma_0p180,1.8,0.18,5.510000000000001,83.62802296828274,86.68257260233811,0.09952015628784246,0.08054805493002656,0.07802777779031551,0.07894138514620869,0.13601612184161913,0.133043876002514,0.088930048598648,0.08854013952540905
mu2_1p800__sigma_0p180,1.8,0.18,5.760000000000001,83.51178694533299,86.53391983564273,0.10164824010161322,0.08297081275783659,0.07802777779031551,0.07894138514620869,0.13758633753546012,0.13438544698910104,0.08959953454894942,0.08919926813694266
mu2_1p800__sigma_0p180,1.8,0.18,6.010000000000001,83.42597548293007,86.39707859825187,0.10362390244793798,0.08532801148529764,0.07802777779031551,0.07894138514620869,0.13860025889852295,0.13523944711832084,0.09253091606679917,0.09208030473027265
mu2_1p800__sigma_0p180,1.8,0.18,6.260000000000001,83.39125056837877,86.27079288949983,0.10546549893838605,0.08763234345908108,0.07802777779031551,0.07894138514620869,0.1391565433910767,0.1357052023963224,0.09415256395149889,0.09367124093791196
mu2_1p800__sigma_0p180,1.8,0.18,6.510000000000001,83.36149025343684,86.15378811065365,0.10719014998667967,0.0898888124921331,0.07802777779031551,0.07894138514620869,0.13915833913058037,0.1357066985946151,0.09796290008137717,0.09740195037784548
mu2_1p800__sigma_0p180,1.8,0.18,6.760000000000001,83.30979805372928,86.04504666713235,0.10880970930305325,0.09209908078712033,0.07802777779031551,0.07894138514620869,0.14055513428294472,0.1368613854116303,0.10136475967716946,0.10072342136673358
mu2_1p800__sigma_0p180,1.8,0.18,7.010000000000001,83.27037746046699,85.94354292052333,0.1103347182955589,0.09426283009583067,0.07802777779031551,0.07894138514620869,0.140871309199776,0.13712008308107285,0.10254053173853067,0.10186894439039586
mu2_1p800__sigma_0p180,1.8,0.18,7.260000000000001,83.20893281935318,85.84852256291327,0.1117744110670999,0.09637922929660635,0.07802777779031551,0.07894138514620869,0.1426320178740862,0.13854365560835238,0.10333312189868636,0.10264014192246373
mu2_1p800__sigma_0p180,1.8,0.18,7.510000000000001,83.07780360792684,85.75933476701076,0.11313617631386869,0.09844823394011913,0.07802777779031551,0.07894138514620869,0.1448435961584062,0.14299449686688964,0.10384319620764554,0.10313583675170444
mu2_1p800__sigma_0p180,1.8,0.18,7.760000000000001,83.07342830275049,85.67536206980795,0.11442755256495656,0.10047057062715645,0.07802777779031551,0.07894138514620869,0.1448435961584062,0.14299449686688964,0.10446660669011057,0.10374081186642761
mu2_1p800__sigma_0p180,1.8,0.18,8.01,83.05665065382415,85.59598950191116,0.11565542216654785,0.10244610932458983,0.07802777779031551,0.07894138514620869,0.14484359615840603,0.14299449686688967,0.10501694422264987,0.10427400644654182
mu2_1p800__sigma_0p180,1.8,0.18,8.26,83.03287361524937,85.52080989228291,0.11682505011802959,0.10437506409883131,0.07802777779031551,0.07894138514620869,0.144885213902375,0.14317355454209407,0.10571045180387094,0.10494490717500135
mu2_1p800__sigma_0p180,1.8,0.18,8.51,83.01429896925272,85.44943875397178,0.11794131618656224,0.10625746202936262,0.07802777779031551,0.07894138514620869,0.144885213902375,0.14317355454209407,0.10676521882042686,0.10596351115004035
mu2_1p800__sigma_0p180,1.8,0.18,8.76,82.95748225782638,85.38145642278772,0.11900936726254427,0.10809394216529901,0.07802777779031551,0.07894138514620869,0.14495910745829127,0.1435140908187857,0.10678416790207501,0.10598178999973118
mu2_1p800__sigma_0p180,1.8,0.18,9.01,82.93834071729849,85.31660980817006,0.12003294821200992,0.10988523355322545,0.07802777779031551,0.07894138514620869,0.14721400259514844,0.15365077969067262,0.10813551722389658,0.10728390869322633
mu2_1p800__sigma_0p180,1.8,0.18,9.26,82.93233455274715,85.25463722128356,0.12101509124765805,0.11163211224012237,0.07802777779031551,0.07894138514620869,0.14721400259514844,0.15365077969067262,0.10982288312665645,0.10890563561405504
mu2_1p800__sigma_0p180,1.8,0.18,9.51,82.93191310499269,85.19531689547924,0.12195830135543485,0.11333580878762066,0.07802777779031551,0.07894138514620869,0.14721400259514844,0.15365077969067262,0.11175224038711243,0.11075442297155551
mu2_1p800__sigma_0p180,1.8,0.18,9.76,82.91145869825387,85.13839501594789,0.12286557348213274,0.1149970618389177,0.07802777779031551,0.07894138514620869,0.14721400259514844,0.15365077969067262,0.11175745134196517,0.11075940888335016
mu2_2p000__sigma_0p120,2.0,0.12,2.92,89.51748062514945,88.50072501607194,0.08312090764774932,0.06342873392824994,0.04759500269772482,0.0478014076999879,0.047640728168873936,0.0477868290644097,0.04954343274337643,0.049470937622559864
mu2_2p000__sigma_0p120,2.0,0.12,3.1700000000000004,88.39479202651616,88.60589163771832,0.09085647006671217,0.060205946523293204,0.04759500269772482,0.0478014076999879,0.04956501244975504,0.04949245948299023,0.049543430545536976,0.049470935430361074
mu2_2p000__sigma_0p120,2.0,0.12,3.4200000000000004,87.35133066176957,88.53992210267447,0.0966160180020846,0.06809849456326815,0.04759500269772482,0.0478014076999879,0.06835273455498762,0.06815616250801881,0.04954343063362795,0.04947093551822914
mu2_2p000__sigma_0p120,2.0,0.12,3.6700000000000004,86.56927090835104,88.40107778230959,0.10010331206376914,0.07323470255441837,0.04759500269772482,0.0478014076999879,0.07957593524017532,0.07917188025413625,0.049551278755366704,0.04947876275702874
mu2_2p000__sigma_0p120,2.0,0.12,3.9200000000000004,86.08882077407321,88.24078653603608,0.10254756683588831,0.07670869917245883,0.04759500269772482,0.0478014076999879,0.08378867556442397,0.08324325977205381,0.05177361465671109,0.05169404337595886
mu2_2p000__sigma_0p120,2.0,0.12,4.17,85.9079123878422,88.08349256940247,0.10451624310275384,0.07924001716057524,0.04759500269772482,0.0478014076999879,0.08899149434935083,0.08820769383497014,0.058692006796542254,0.05858072783049361
mu2_2p000__sigma_0p120,2.0,0.12,4.42,85.80296921157215,87.93744040885221,0.10623238253723755,0.08126332911168005,0.04759500269772482,0.0478014076999879,0.09058709092092783,0.08971479097953854,0.059326689098476194,0.05921178536320757
mu2_2p000__sigma_0p120,2.0,0.12,4.67,85.74995047377861,87.80386741276779,0.10779757645729253,0.0830268198775209,0.04759500269772482,0.0478014076999879,0.0910074950561665,0.09010964254421952,0.059336670519122926,0.05922170508351776
mu2_2p000__sigma_0p120,2.0,0.12,4.92,85.73916586684446,87.68271815769872,0.10924959302711598,0.08466499838246155,0.04759500269772482,0.0478014076999879,0.0910074950561665,0.09010964254421952,0.059463958659758016,0.05934813395317715
mu2_2p000__sigma_0p120,2.0,0.12,5.17,85.7049521827619,87.57272494076999,0.11060123804649512,0.08624477996809297,0.04759500269772482,0.0478014076999879,0.09108878904879712,0.09018585243239416,0.06083136288905354,0.06070544470160591
mu2_2p000__sigma_0p120,2.0,0.12,5.42,85.65999142836682,87.4724559812873,0.11186285390213131,0.08779812479268205,0.04759500269772482,0.0478014076999879,0.09144800936097165,0.09052168135683179,0.0638643868165079,0.06371285266453387
mu2_2p000__sigma_0p120,2.0,0.12,5.67,85.58837210463584,87.38067804197394,0.11304130158308606,0.0893367049094963,0.04759500269772482,0.0478014076999879,0.09181534765572331,0.09086358227818694,0.06750805125042467,0.06732064338072571
mu2_2p000__sigma_0p120,2.0,0.12,5.92,85.55909201430323,87.29620643605645,0.11414429819402656,0.09086417013714408,0.04759500269772482,0.0478014076999879,0.09228613323002831,0.09129971359018461,0.06927642257861628,0.06906933336820958
mu2_2p000__sigma_0p120,2.0,0.12,6.17,85.50969839858,87.21818705093735,0.11517961456908041,0.09237799648924229,0.04759500269772482,0.0478014076999879,0.09293038578555385,0.09189337872296106,0.06955204465251748,0.06934164271537865
mu2_2p000__sigma_0p120,2.0,0.12,6.42,85.48845700453649,87.14586646522042,0.11615277469689593,0.0938739363304137,0.04759500269772482,0.0478014076999879,0.09293039039589797,0.09189338295656284,0.06960774192891289,0.06939663736860019
mu2_2p000__sigma_0p120,2.0,0.12,6.67,85.48490225600078,87.07853075966221,0.11706944469752706,0.0953481443779474,0.04759500269772482,0.0478014076999879,0.09293039039589797,0.09189338295656284,0.06967084256858178,0.06945889946246561
mu2_2p000__sigma_0p120,2.0,0.12,6.92,85.44749277113696,87.01555090060167,0.11793566561169508,0.09679651716097377,0.04759500269772482,0.0478014076999879,0.09379074114878609,0.09268126141565021,0.0697492361385374,0.06953621315799667
mu2_2p000__sigma_0p120,2.0,0.12,7.17,85.44372830580434,86.95649082800675,0.11875604083721175,0.09821663378659248,0.04759500269772482,0.0478014076999879,0.09379076320793857,0.09268128154758101,0.07014926108074529,0.06993045728346839
mu2_2p000__sigma_0p120,2.0,0.12,7.42,85.43008993910455,86.90084972568643,0.11953500052592653,0.09960517233203564,0.04759500269772482,0.0478014076999879,0.09379076320793857,0.09268128154758101,0.07115652128323353,0.07092206570782844
mu2_2p000__sigma_0p120,2.0,0.12,7.67,85.3460580177173,86.84832279317257,0.12027635699752566,0.10095999970138281,0.04759500269772482,0.0478014076999879,0.09616413287372685,0.09677219799709551,0.07197997916751252,0.0717318795246995
mu2_2p000__sigma_0p120,2.0,0.12,7.920000000000001,85.32021933363468,86.79859958576289,0.12098296881947587,0.10228063115455814,0.04759500269772482,0.0478014076999879,0.09616413287372685,0.09677219799709551,0.07302871965137415,0.07276229497882722
mu2_2p000__sigma_0p120,2.0,0.12,8.17,85.3122274513099,86.75146804446605,0.12165723867494019,0.10356651913826613,0.04759500269772482,0.0478014076999879,0.09616486282538882,0.0967755907927707,0.07426549503374408,0.0739761815731445
mu2_2p000__sigma_0p120,2.0,0.12,8.42,85.3074092750398,86.70666451713501,0.12230192069107707,0.10481768027374355,0.04759500269772482,0.0478014076999879,0.09616486282538882,0.0967755907927707,0.07691838611253511,0.07657537641055007
mu2_2p000__sigma_0p120,2.0,0.12,8.67,85.28160879896502,86.6639924553703,0.12291919068476785,0.1060344969068958,0.04759500269772482,0.0478014076999879,0.0975715710733271,0.10318180060332656,0.07807103601107254,0.07770260395338226
mu2_2p000__sigma_0p120,2.0,0.12,8.92,85.24910641859336,86.62323147474984,0.12351123090109435,0.10721727966575224,0.04759500269772482,0.0478014076999879,0.09757157107333128,0.10318180060339188,0.07807124450166272,0.07770280768553288
mu2_2p000__sigma_0p120,2.0,0.12,9.17,85.24312125013576,86.58425905801266,0.1240796431181839,0.10836633968665707,0.04759500269772482,0.0478014076999879,0.09896900184679883,0.10960304597560148,0.07896594804949976,0.07857673263034119
mu2_2p000__sigma_0p120,2.0,0.12,9.42,85.23562131117035,86.54695619807806,0.1246257784839008,0.10948254789703249,0.04759500269772482,0.0478014076999879,0.09897415445549676,0.10962605880921666,0.0795780762321931,0.07917396787784582
mu2_2p000__sigma_0p120,2.0,0.12,9.67,85.2340965919315,86.51121045984843,0.1251511546796209,0.11056707823653758,0.04759500269772482,0.0478014076999879,0.09897415445549676,0.10962605880921666,0.07994445334715071,0.07953104637202471
mu2_2p000__sigma_0p120,2.0,0.12,9.92,85.23409665296609,86.47685079451111,0.12565727128861168,0.11162041052955549,0.04759500269772482,0.0478014076999879,0.09897415445549676,0.10962605880921666,0.08014544729139969,0.07972673379899238
mu2_2p000__sigma_0p150,2.0,0.15,2.91,89.19823099135968,88.34678346180743,0.08497416610458736,0.05990466255583592,0.05915975105484866,0.05956267380589973,0.05924869921091523,0.059534093564637736,0.06182683710378287,0.06168459620325694
mu2_2p000__sigma_0p150,2.0,0.15,3.16,87.86810495376153,88.42790104904279,0.08717705698020532,0.06172907721626841,0.05915975105484866,0.05956267380589973,0.06372608422639352,0.0635748923543357,0.06180446591961354,0.06166230951883825
mu2_2p000__sigma_0p150,2.0,0.15,3.41,86.58718753432748,88.32905923782933,0.09269694555848317,0.06944721056516144,0.05915975105484866,0.05956267380589973,0.08613949668058478,0.08574069311874401,0.061826837103932906,0.061684596203406356
mu2_2p000__sigma_0p150,2.0,0.15,3.66,85.70047970961991,88.15333107480348,0.09686780608786677,0.07463800360740078,0.05915975105484866,0.05956267380589973,0.09879141281748127,0.0980253461201685,0.061827544340971125,0.06168530070035709
mu2_2p000__sigma_0p150,2.0,0.15,3.91,85.13768484877957,87.9575481002386,0.09990224030328528,0.07834269301129511,0.05915975105484866,0.05956267380589973,0.10491972207065291,0.10384552589302104,0.06217151227033634,0.06202779168969649
mu2_2p000__sigma_0p150,2.0,0.15,4.16,84.88151156997046,87.76757944054557,0.10238452880988594,0.0812240451716487,0.05915975105484866,0.05956267380589973,0.10997863122326383,0.10855364746063154,0.06746702223754594,0.06729361884401908
mu2_2p000__sigma_0p150,2.0,0.15,4.41,84.76743838881755,87.59058524648064,0.10456974658198125,0.08366781529480172,0.05915975105484866,0.05956267380589973,0.11268497441115648,0.11103232075116079,0.07268559119016853,0.07247252134215171
mu2_2p000__sigma_0p150,2.0,0.15,4.66,84.72558749770374,87.42873025270515,0.1065703298975385,0.08588670440658311,0.05915975105484866,0.05956267380589973,0.1126849746261888,0.11103232094647987,0.07400353424593104,0.07377874584830767
mu2_2p000__sigma_0p150,2.0,0.15,4.91,84.68364322280088,87.28170185892823,0.1084220643207551,0.08799114582802622,0.05915975105484866,0.05956267380589973,0.113631475497617,0.11188927288014558,0.0740775842070565,0.0738520834189122
mu2_2p000__sigma_0p150,2.0,0.15,5.16,84.62461044692145,87.14757010961824,0.11014668428393323,0.09003439283333446,0.05915975105484866,0.05956267380589973,0.11398063772882241,0.11220350186919474,0.07443421631872629,0.07420497572489992
mu2_2p000__sigma_0p150,2.0,0.15,5.41,84.55584451674511,87.02509482764576,0.11175446491908377,0.09203971118084617,0.05915975105484866,0.05956267380589973,0.11500034059641578,0.11311572289035958,0.07528508020620597,0.07504634239790631
mu2_2p000__sigma_0p150,2.0,0.15,5.66,84.50219894789689,86.91260607604667,0.11325566369819864,0.09401346422083429,0.05915975105484866,0.05956267380589973,0.1152445747654188,0.1133326347834242,0.07841513702359376,0.07813727480226788
mu2_2p000__sigma_0p150,2.0,0.15,5.91,84.47021365736897,86.8087800378034,0.11466174650522439,0.09595507707130149,0.05915975105484866,0.05956267380589973,0.11608024969404727,0.11407143319280295,0.08156191210633656,0.08123908060244071
mu2_2p000__sigma_0p150,2.0,0.15,6.16,84.39220932387235,86.71264517917052,0.1159820642138231,0.09786159601519047,0.05915975105484866,0.05956267380589973,0.11733302965442735,0.11516705402575395,0.08444849995493779,0.08407944792103779
mu2_2p000__sigma_0p150,2.0,0.15,6.41,84.37143448256319,86.62326682740397,0.117224360892942,0.09972991725404222,0.05915975105484866,0.05956267380589973,0.11733349132377024,0.11516745664213636,0.08546133471748978,0.08507476345426065
mu2_2p000__sigma_0p150,2.0,0.15,6.66,84.3490614967228,86.53979664702193,0.1183965743285463,0.10155626420704039,0.05915975105484866,0.05956267380589973,0.11733349132377024,0.11516745664213636,0.08654413769407611,0.08613776036041138
mu2_2p000__sigma_0p150,2.0,0.15,6.91,84.32906558607768,86.46162046716327,0.11950477683774778,0.10333775477329603,0.05915975105484866,0.05956267380589973,0.11733349132377024,0.11516745664213636,0.08678546558335741,0.08637441085660696
mu2_2p000__sigma_0p150,2.0,0.15,7.16,84.27079758070599,86.38814915146767,0.12055476221390543,0.1050730036887052,0.05915975105484866,0.05956267380589973,0.11881225388487654,0.11644338743846858,0.08693493690282665,0.08652088227091931
mu2_2p000__sigma_0p150,2.0,0.15,7.41,84.24199759291245,86.31891382693392,0.12155219126592905,0.10676187896701556,0.05915975105484866,0.05956267380589973,0.11881225388521004,0.11644338743875367,0.08728057201991259,0.08685923286556817
mu2_2p000__sigma_0p150,2.0,0.15,7.66,84.13198532484552,86.2535273295308,0.1225011354089337,0.10840426514952133,0.05915975105484866,0.05956267380589973,0.12051043241598688,0.12159455478351619,0.08764014538128344,0.0872108611312857
mu2_2p000__sigma_0p150,2.0,0.15,7.91,84.11859207533325,86.19151884052013,0.12340573961280418,0.11000039402760853,0.05915975105484866,0.05956267380589973,0.12228690699306678,0.12955990384488292,0.08818984457093912,0.08774789901492906
mu2_2p000__sigma_0p150,2.0,0.15,8.16,84.11278610609443,86.13262585129921,0.1242699204297252,0.11155041726495543,0.05915975105484866,0.05956267380589973,0.12228690699306678,0.12955990384488292,0.08898696729944792,0.08852577508755297
mu2_2p000__sigma_0p150,2.0,0.15,8.41,84.10767898939466,86.07649868649813,0.12509745313066536,0.11305566079126647,0.05915975105484866,0.05956267380589973,0.12228690699306678,0.12955990384488292,0.09006525985791249,0.08957659813098577
mu2_2p000__sigma_0p150,2.0,0.15,8.66,84.10532138441359,86.0229065761443,0.1258915247939868,0.11451714077890228,0.05915975105484866,0.05956267380589973,0.12228690701697115,0.12955990395078337,0.09142084251193376,0.09089552266299077
mu2_2p000__sigma_0p150,2.0,0.15,8.91,84.07940689466693,85.97164354473138,0.12665422544873609,0.11593558371070656,0.05915975105484866,0.05956267380589973,0.12229748813603171,0.1296071606041457,0.09299788518308699,0.09242707993453143
mu2_2p000__sigma_0p150,2.0,0.15,9.16,84.07940707777182,85.92251149155155,0.12738777680523336,0.11731250513799862,0.05915975105484866,0.05956267380589973,0.12229748813603171,0.1296071606041457,0.09467937494725288,0.09405671365182602
mu2_2p000__sigma_0p150,2.0,0.15,9.41,84.07692703626736,85.8753595218471,0.1280942372243087,0.11864910781488128,0.05915975105484866,0.05956267380589973,0.12229748813603171,0.1296071606041457,0.09468004734138172,0.09405736432799551
