t,residual_norm,smooth_log_norm,loss_bound_log_norm,parameter_speed,gate_defect_0.0002,count_0.0002,gate_defect_0.0001,count_0.0001,gate_defect_1e-05,count_1e-05
1.62,1.3881634036582067,1.975474709453376,2.9479055227892195,0.4459023136949925,2.300260928228428e-05,34,1.4846507712728403e-05,16,2.9504020927621612e-06,3
1.6400000000000001,1.3851985683537351,1.9713049607648947,2.9416093948656767,0.46108232081039835,2.1830042878051288e-05,30,1.244386640663262e-05,11,6.763878507295588e-06,2
1.6600000000000001,1.382018446284638,1.9668126202183436,2.9348560837022144,0.4771803005625768,2.5190727458720084e-05,36,1.8395805468644188e-05,18,8.467877241630103e-06,3
1.6800000000000002,1.3786025205317445,1.9619737413926335,2.9276020195438766,0.4940628432754151,1.8100104944234675e-05,32,1.17375993494333e-05,14,5.99211673774964e-07,1
1.7000000000000002,1.3749303821719028,1.9567629390746475,2.9198038619761895,0.5116341476130968,2.2759022110539718e-05,34,1.6351215702586672e-05,19,1.7426400845535432e-06,3
1.72,1.3709814044868298,1.9511534185883015,2.9114178080746678,0.5298267358060517,2.8809543323156202e-05,28,1.467365992136e-05,12,6.2281147552946124e-06,1
1.74,1.3667344456933688,1.9451168677940092,2.902398961122422,0.5485897599782938,2.3681350506127356e-05,24,1.700814476530973e-05,14,0.0,0
1.76,1.3621676339022837,1.9386233412137612,2.8927008739483897,0.567887092162724,1.8500334817748805e-05,20,1.2189103073377956e-05,8,0.0,0
1.78,1.3572583087797723,1.9316414214458963,2.882275425039651,0.5876823918309945,2.4957475768745044e-05,32,1.6017521271884614e-05,12,0.0,0
1.8,1.3519829094103546,1.9241381193911002,2.8710725804069206,0.6079424782670723,1.788235050204435e-05,28,1.5378840025808852e-05,14,2.437711337364212e-06,1
1.82,1.346316975913905,1.9160789833790448,2.8590403970184783,0.6286357752996693,2.2741793764679546e-05,22,1.9438703585485157e-05,13,6.132430633100865e-07,1
1.84,1.3402350902531928,1.907428094555633,2.846124897098988,0.6497279594584897,2.57419855780278e-05,32,1.8278845889328536e-05,15,0.0,0
1.86,1.3337109166665437,1.8981481077165514,2.832270153992352,0.6711855262822763,2.6074333216351025e-05,25,1.7139566831910293e-05,12,6.3404693795974815e-06,3
1.8800000000000001,1.3267172064522508,1.8882003124404108,2.8174183023218853,0.6929622147184878,2.9117665260750838e-05,34,1.9324881122554046e-05,15,0.0,0
1.9000000000000001,1.3192259644169164,1.877544914785558,2.801509891460227,0.7150166453533557,3.106059794106148e-05,28,2.2988028298190123e-05,14,2.856349270281729e-06,3
1.9200000000000002,1.3112084210130357,1.8661409441348695,2.7844838263606735,0.7372978568327566,2.595838497172694e-05,27,2.0248332869714665e-05,13,1.1074696165941196e-05,3
1.9400000000000002,1.3026352631722857,1.8539466097165638,2.7662778577550404,0.759741448814492,2.7335383711371567e-05,21,1.595888476667971e-05,12,0.0,0
1.9600000000000002,1.2934767754487777,1.8409195622961745,2.746828881885645,0.7822894195622421,2.183631575845069e-05,26,1.3810440628243797e-05,13,0.0,0
1.9800000000000002,1.2837030690720124,1.8270171749768698,2.726073426922447,0.8048596279366466,2.8719949314398034e-05,27,2.5906673274085198e-05,16,0.0,0
2.0,1.2732843516587495,1.8121969301551075,2.703948225723511,0.8273771914002497,2.0413841103929733e-05,23,1.3449877521639691e-05,12,8.15321304211119e-06,3
2.02,1.2621911007148923,1.7964166716393561,2.6803905842838183,0.8497538484866464,2.3989392716491742e-05,21,1.4934895360035726e-05,9,8.244634503973869e-06,1
2.04,1.250394423071848,1.7796351242612207,2.655339145034771,0.871892081896424,3.626667450305204e-05,30,2.420011795826464e-05,16,7.919777481219042e-06,1
2.06,1.2378664366164869,1.7618124120559064,2.628734697486404,0.8936897238315107,3.0431206018564442e-05,25,1.9780966079235016e-05,11,1.0823005352298687e-05,1
