index,time,phi_deg,dV_dphi,stable_root_count,branch_exists
653,6.53,84.35338945376554,-0.2894125085908204,1,1
654,6.54,84.35338983523505,-0.2890286260803446,1,1
655,6.550000000000001,84.35338945376509,-0.28864571624834473,1,1
656,6.5600000000000005,84.3533898352346,-0.2882636977799845,1,1
657,6.57,84.35338945376463,-0.28788256191369355,1,1
658,6.58,84.35338983523414,-0.28750230038534,1,1
659,6.590000000000001,84.35338945376418,-0.28712296354929306,1,1
660,6.6000000000000005,84.35338983523368,-0.2867445162283227,1,1
661,6.61,84.35338945376373,-0.28636694304170335,1,1
662,6.62,84.35338983523323,-0.2859902371519702,1,1
663,6.63,84.35338945376327,-0.2856144068782576,1,1
664,6.640000000000001,84.35338983523278,-0.28523944378917676,1,1
665,6.65,84.35338945376282,-0.28486534787374473,1,1
666,6.66,84.35338983523232,-0.28449220573347134,1,1
667,6.67,84.33174867617447,-0.22919113654692197,1,1
668,6.680000000000001,84.33174829470451,-0.22889507406039533,1,1
669,6.69,84.33174867617402,-0.22859967809178108,1,1
670,6.7,84.33174829470406,-0.22830496980750914,1,1
671,6.71,84.33174867617356,-0.22801093715200044,1,1
672,6.720000000000001,84.3317482947036,-0.2277175774439167,1,1
673,6.73,84.3317486761731,-0.2274248829198075,1,1
674,6.74,84.33174829470315,-0.22713284056821334,1,1
675,6.75,84.33174867617265,-0.22684146296770094,1,1
676,6.760000000000001,84.33174829470269,-0.22655076234675697,1,1
677,6.7700000000000005,84.3317486761722,-0.2262607294232066,1,1
678,6.78,84.33174829470224,-0.2259713557436141,1,1
679,6.79,84.33174867617174,-0.22568264705218039,1,1
680,6.800000000000001,84.33174829470178,-0.22539460480928206,1,1
681,6.8100000000000005,84.32906541811465,-0.22510457498729594,1,1
682,6.82,84.32906579958416,-0.2248178252758509,1,1
683,6.83,84.3290654181142,-0.22453171296426436,1,1
684,6.840000000000001,84.3290657995837,-0.22424624395014944,1,1
685,6.8500000000000005,84.32906541811374,-0.22396141572297446,1,1
686,6.86,84.32906579958325,-0.2236772198141982,1,1
687,6.87,84.32906541811329,-0.22339367128074655,1,1
688,6.88,84.32906579958279,-0.22311075867383273,1,1
689,6.890000000000001,84.32906541811283,-0.22282847746835416,1,1
690,6.9,84.32906579958234,-0.22254681840319626,1,1
691,6.91,84.32906541811238,-0.22226578169092975,1,1
692,6.92,84.32906579958188,-0.22198534597619168,1,1
693,6.930000000000001,84.32906541811192,-0.22170550839386605,1,1
694,6.94,84.32906579958143,-0.22142627104861887,1,1
695,6.95,84.32906541811147,-0.22114764880019283,1,1
696,6.96,84.32906579958097,-0.2208696292174863,1,1
697,6.970000000000001,84.29370317445867,-0.21611276199717808,1,1
698,6.98,84.29370355592818,-0.21584626687487743,1,1
