psi_deg,x1,x2,slope_x2_over_x1,selector_switch_count,first_switch_time,first_switch_transition,actual_persistent_swing,actual_S_normalized,t_reversal_actual,t_rebound_actual,predicted_persistent_swing,predicted_S_normalized,t_reversal_predicted,t_rebound_predicted,selector_model_relative_rms_over_time
146.0,-0.8290375725550416,0.5591929034707469,-0.6745085168424267,1,1.1560669019165637,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008820106457987809
146.022446,-0.8292565764446893,0.5588680796245507,-0.6739386765198921,1,1.1560690125047977,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008807690822415028
146.072446,-0.8297439650289973,0.5581442040350847,-0.6726703990134826,1,1.156073715215561,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008779996587068946
146.122446,-0.8302307217271805,0.5574199033945281,-0.6714036096314201,1,1.1560784196323117,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008752247874326297
146.172446,-0.8307168461685536,0.556695178254466,-0.6701383038300777,1,1.1560831257631474,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008724444186665571
146.222446,-0.8312023379829108,0.5559700291668095,-0.6688744770809825,1,1.1560878336161768,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008696586167293264
146.272446,-0.8316871968005298,0.5552444566837897,-0.6676121248707384,1,1.1560925431995202,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008668674632750539
146.322446,-0.8321714222521689,0.5545184613579628,-0.6663512427009657,1,1.1560972545213082,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008640711350816685
146.372446,-0.8326550139690695,0.5537920437422054,-0.6650918260882255,1,1.1561019675896835,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008612697652406033
146.422446,-0.8331379715829555,0.553065204389716,-0.6638338705639553,1,1.1561066824128001,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008584631137279076
146.472446,-0.8336202947260338,0.5523379438540146,-0.6625773716744005,1,1.1561113989988234,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008556512441757785
146.5,-0.8338858220671681,0.5519369853120583,-0.6618855611956916,1,1.1561139989714593,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008540994273356303
146.522446,-0.8341019830309941,0.5516102626889415,-0.6613223249805467,1,1.1561161173559296,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00852834079909768
146.572446,-0.8345830361310104,0.5508821614486574,-0.6600687260580522,1,1.1561208374923075,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008500117389305888
146.622446,-0.8350634536597387,0.5501536406876442,-0.6588165704971852,1,1.1561255594161566,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008471841684608388
146.672446,-0.8355432352513213,0.5494247009607004,-0.6575658539027487,1,1.1561302831356888,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008443512514086642
146.722446,-0.8360223805403828,0.5486953428229471,-0.6563165718940261,1,1.1561350086591269,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008415130032692923
146.772446,-0.836500889162034,0.5479655668298204,-0.655068720104704,1,1.1561397359947063,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008386695953177486
146.822446,-0.8369787607518692,0.5472353735370781,-0.6538222941828168,1,1.1561444651506738,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00835821284402487
146.872446,-0.8374559949459685,0.5465047635007932,-0.6525772897906749,1,1.1561491961352883,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008329680386220879
146.922446,-0.8379325913808974,0.5457737372773576,-0.6513337026048033,1,1.1561539289568201,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008301097046378157
146.972446,-0.8384085496937069,0.545042295423479,-0.650091528315876,1,1.1561586636235526,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008272465442237366
147.0,-0.8386705679454239,0.5446390350150273,-0.649407593197511,1,1.1561612735953195,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008256665527960356
147.022446,-0.8388838695219341,0.5443104384961827,-0.6488507626286534,1,1.15616340014378,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00824378380451445
147.072446,-0.8393585505036024,0.5435781670528089,-0.6476114012619163,1,1.1561681385258096,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008215051598097788
147.122446,-0.8398325922772214,0.542845481651015,-0.6463734399484063,1,1.1561728787779604,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008186269590312148
147.172446,-0.8403059944817876,0.5421123828487724,-0.6451368744347592,1,1.1561776209085641,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008157437036517928
147.222446,-0.8407787567567847,0.5413788712043678,-0.6439017004814437,1,1.1561823649259646,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008128553929531851
147.272446,-0.8412508787421837,0.5406449472764022,-0.6426679138626997,1,1.1561871108385178,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008099622972797123
147.322446,-0.8417223600784435,0.5399106116237902,-0.641435510366475,1,1.156191858654592,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.00807064453672044
147.372446,-0.8421932004065096,0.5391758648057614,-0.6402044857943666,1,1.1561966083825692,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008041619806950577
147.422446,-0.8426633993678179,0.5384407073818561,-0.6389748359615531,1,1.1562013600308425,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.008012548148907082
