cell_id,mu2,sigma,time,frozen_gate_rel_rms_all,block_selector_rel_rms_all,frozen_gate_rel_rms_cluster1,block_selector_rel_rms_cluster1,frozen_gate_rel_rms_cluster2,block_selector_rel_rms_cluster2
mu2_2p000__sigma_0p180,2.0,0.18,7.680000000000001,0.015915523225306483,0.07472856357366003,0.015100672119868066,0.07329164583599342,0.01759475955826667,0.07783263678494917
mu2_2p000__sigma_0p180,2.0,0.18,7.69,0.01594871367220687,0.07472762922684234,0.01512532941720069,0.07328421668404404,0.01764449687844892,0.0778453051647808
mu2_2p000__sigma_0p180,2.0,0.18,7.7,0.015981874696597745,0.07472671958663694,0.015149948206746287,0.07327681162006117,0.01769420630660405,0.07785799592433876
mu2_2p000__sigma_0p180,2.0,0.18,7.71,0.01601500838345145,0.07472583742107972,0.01517452685975692,0.07326943002026852,0.017743897065736033,0.07787071892591355
mu2_2p000__sigma_0p180,2.0,0.18,7.720000000000001,0.016048108473599217,0.07472497748463472,0.015199066362565064,0.0732620715089863,0.017793549082243426,0.07788345868192226
mu2_2p000__sigma_0p180,2.0,0.18,7.73,0.016081173501566026,0.07472414259628059,0.01522356515418124,0.07325473846479764,0.01784316112607361,0.07789621891698513
mu2_2p000__sigma_0p180,2.0,0.18,7.74,0.016114204347415177,0.07472333460685637,0.015248025128790815,0.07324743228645147,0.01789273223967331,0.0779090024386999
mu2_2p000__sigma_0p180,2.0,0.18,7.75,0.016147204281333795,0.07472255401318342,0.015272446412378415,0.07324015255789731,0.017942271769286235,0.07792181167017632
mu2_2p000__sigma_0p180,2.0,0.18,7.760000000000001,0.01618017352162245,0.07472179755224495,0.015296830893715252,0.07323289612352792,0.017991776854342122,0.07793464315593078
mu2_2p000__sigma_0p180,2.0,0.18,7.7700000000000005,0.016213115941064195,0.07472106671830729,0.015321177296871016,0.07322566227726116,0.018041261219803532,0.07794750301549146
mu2_2p000__sigma_0p180,2.0,0.18,7.78,0.016246023955877414,0.07472035886761592,0.015345487214269295,0.07321845148292672,0.018090699898655017,0.07796038205506242
mu2_2p000__sigma_0p180,2.0,0.18,7.79,0.016278902358862004,0.07471967628646893,0.015369759044834272,0.07321126289907327,0.01814010988224009,0.07797328910283287
mu2_2p000__sigma_0p180,2.0,0.18,7.800000000000001,0.01631174951532086,0.07473144383494477,0.015393994077542257,0.07322247784742353,0.018189484074687973,0.0779862159380627
mu2_2p000__sigma_0p180,2.0,0.18,7.8100000000000005,0.01634456821559197,0.07471838272734302,0.015418192546105628,0.07319695486700033,0.018238830203774953,0.07799916907727515
mu2_2p000__sigma_0p180,2.0,0.18,7.82,0.01637736124838182,0.07471777516056057,0.01544235330318514,0.07318983531480747,0.018288158519457996,0.07801215277839484
mu2_2p000__sigma_0p180,2.0,0.18,7.83,0.016410122019450846,0.0747171912198301,0.01546647616482631,0.07318273694976771,0.018337450353038545,0.07802516155922422
mu2_2p000__sigma_0p180,2.0,0.18,7.840000000000001,0.01644285221984716,0.07471663274020468,0.015490562692096803,0.07317565838963193,0.018386707693884223,0.07803820391907965
mu2_2p000__sigma_0p180,2.0,0.18,7.8500000000000005,0.01647555014320165,0.07471609590595334,0.01551461155342262,0.07316859967712461,0.018435928202406728,0.07805126800965585
mu2_2p000__sigma_0p180,2.0,0.18,7.86,0.01650821332470104,0.07471558172862583,0.015538621175776536,0.0731615654803591,0.018485107791867055,0.07806434721946934
mu2_2p000__sigma_0p180,2.0,0.18,7.87,0.016540840094565717,0.07471508733964105,0.015562592371059242,0.0731545522017812,0.01853424020862972,0.07807744020225929
mu2_2p000__sigma_0p180,2.0,0.18,7.880000000000001,0.016573437228105933,0.07471461781086026,0.015586525894863246,0.07314756025515265,0.018583343630130273,0.07809056176838444
mu2_2p000__sigma_0p180,2.0,0.18,7.890000000000001,0.016606004363988187,0.07471417150665055,0.01561042189974853,0.07314058947211884,0.01863241678406982,0.07810370721975918
mu2_2p000__sigma_0p180,2.0,0.18,7.9,0.016638544103744823,0.07472596445365766,0.015634280692376913,0.07315172411838644,0.018681466626545663,0.07811687776433336
mu2_2p000__sigma_0p180,2.0,0.18,7.91,0.016671054658915305,0.07471335770365797,0.01565810245424937,0.07312671933871134,0.01873048770587006,0.07813008136907881
mu2_2p000__sigma_0p180,2.0,0.18,7.920000000000001,0.01670353351151925,0.07471298642402602,0.01568188911350074,0.0731198178042966,0.01877946927305199,0.07814330294384729
mu2_2p000__sigma_0p180,2.0,0.18,7.930000000000001,0.01673598689840842,0.07471264001996443,0.01570564079142434,0.07311293629421282,0.01882842907621611,0.07815655587970739
mu2_2p000__sigma_0p180,2.0,0.18,7.94,0.016768409624544997,0.07471231867809515,0.015729357128917404,0.07310607707849409,0.01887735292134555,0.07816983600162458
mu2_2p000__sigma_0p180,2.0,0.18,7.95,0.016800803386012187,0.07471202274458956,0.01575303791314889,0.07309924072471166,0.018926246123403594,0.07818314318914706
mu2_2p000__sigma_0p180,2.0,0.18,7.96,0.01683316965252771,0.07472383913623078,0.015776682034517996,0.07311033040673129,0.018975114999932836,0.0781964780126919
mu2_2p000__sigma_0p180,2.0,0.18,7.970000000000001,0.01686550645505929,0.07472356879545992,0.015800291103781495,0.0731035049934282,0.019023950978606652,0.07820983734638295
mu2_2p000__sigma_0p180,2.0,0.18,7.98,0.016897814119252782,0.07472332217694982,0.01582386572913234,0.0730967012594282,0.01907275391919818,0.07822322098804363
mu2_2p000__sigma_0p180,2.0,0.18,7.99,0.016930098927781603,0.07472310251172161,0.01584740502748723,0.0730899192656333,0.01912154347299418,0.07823663879300956
mu2_2p000__sigma_0p180,2.0,0.18,8.0,0.016962357614688926,0.07473317468832778,0.01587090862806717,0.07309836945599257,0.019170311012229685,0.07825008768600428
mu2_2p000__sigma_0p180,2.0,0.18,8.01,0.01699458745638128,0.07473298699643117,0.015894377780266297,0.07309160551100954,0.01921904649896182,0.0782635619611529
mu2_2p000__sigma_0p180,2.0,0.18,8.02,0.01702678722492175,0.07473282272608843,0.015917813518749293,0.0730848608374777,0.019267744569226173,0.07827706459095564
mu2_2p000__sigma_0p180,2.0,0.18,8.030000000000001,0.01705895807911582,0.07473268010650527,0.015941214387727286,0.07307813403286621,0.019316411276570602,0.07829059304794632
mu2_2p000__sigma_0p180,2.0,0.18,8.040000000000001,0.017091101521666853,0.07473256093250265,0.015964581505862194,0.07307142915630725,0.019365048906330742,0.07830414443425461
mu2_2p000__sigma_0p180,2.0,0.18,8.05,0.017123210183870974,0.07472228228583944,0.015987914386101202,0.07304965709408504,0.019413637444335892,0.07831770778576519
mu2_2p000__sigma_0p180,2.0,0.18,8.06,0.017155284904405325,0.07473238194454629,0.016011214334562228,0.07305808393006231,0.019462176958553692,0.07833128485608593
mu2_2p000__sigma_0p180,2.0,0.18,8.07,0.017187330662728706,0.07473232177128226,0.01603448009124711,0.07305144235271348,0.019510684005432644,0.07834487534562948
mu2_2p000__sigma_0p180,2.0,0.18,8.08,0.017219348845151448,0.07473228512018718,0.01605771303082634,0.07304482207155766,0.01955916004597452,0.07835849031189697
mu2_2p000__sigma_0p180,2.0,0.18,8.09,0.017251341640051814,0.07473227151721311,0.016080913193478878,0.07303822178422505,0.019607611281211565,0.07837213101288963
mu2_2p000__sigma_0p180,2.0,0.18,8.1,0.017283308632289867,0.07473228045323481,0.016104080579839905,0.07303164114657373,0.019656036578180366,0.07838579660128792
mu2_2p000__sigma_0p180,2.0,0.18,8.110000000000001,0.01731524777633605,0.0747323115784594,0.0161272154536806,0.07302508191334087,0.019704429695992277,0.07839948235397905
mu2_2p000__sigma_0p180,2.0,0.18,8.120000000000001,0.01734715519453625,0.07473236095380999,0.016150315892779123,0.073018541424803,0.019752783217290352,0.07841318169948677
mu2_2p000__sigma_0p180,2.0,0.18,8.13,0.017379028268885523,0.07473242724554383,0.016173380805269658,0.0730120188154587,0.019801091766785562,0.07842689231718229
mu2_2p000__sigma_0p180,2.0,0.18,8.14,0.017410871344241977,0.07473251185042849,0.01619641360244406,0.07300551628612473,0.01984936150962536,0.07844061393899383
mu2_2p000__sigma_0p180,2.0,0.18,8.15,0.0174426851804612,0.0747226081684349,0.016219412365549225,0.07298418394487223,0.019897598150521743,0.07845435344082449
mu2_2p000__sigma_0p180,2.0,0.18,8.16,0.01747446575601482,0.07473274127900796,0.016242377793367433,0.07299257182445439,0.019945789096190818,0.07846810572157929
mu2_2p000__sigma_0p180,2.0,0.18,8.17,0.01750621465830831,0.07473288550976201,0.016265309205819582,0.07298612913811174,0.01999394012862103,0.07848187559882135
mu2_2p000__sigma_0p180,2.0,0.18,8.18,0.01753793218626708,0.07473304982175108,0.01628820713847199,0.07297970424554746,0.020042051186083515,0.07849566664652213
mu2_2p000__sigma_0p180,2.0,0.18,8.190000000000001,0.017569621055765712,0.07473323618584682,0.0163110716728098,0.07297329730455906,0.020090129852648686,0.07850948460006639
mu2_2p000__sigma_0p180,2.0,0.18,8.200000000000001,0.017601278666269163,0.07473344108675273,0.016333901561245805,0.0729669078004269,0.020138171097760834,0.07852331972874976
mu2_2p000__sigma_0p180,2.0,0.18,8.21,0.0176329018509862,0.07473366273745335,0.016356696612895006,0.07296053613693257,0.02018616639949338,0.07853716571851659
mu2_2p000__sigma_0p180,2.0,0.18,8.22,0.01766449460199621,0.07473390277099407,0.016379459017512043,0.07295418260242473,0.020234123124216203,0.07855102699159894
mu2_2p000__sigma_0p180,2.0,0.18,8.23,0.017696059751918073,0.07473416228430486,0.01640218932548964,0.07294784729024442,0.02028204831605751,0.07856490672764573
mu2_2p000__sigma_0p180,2.0,0.18,8.24,0.017727590518343807,0.07473443987554504,0.016424886410190905,0.0729415301463658,0.020329924956576876,0.07857880071828767
mu2_2p000__sigma_0p180,2.0,0.18,8.25,0.017759089292298923,0.07474611968896507,0.01644754981790067,0.07295213401064936,0.020377760642744224,0.07859271256710469
mu2_2p000__sigma_0p180,2.0,0.18,8.26,0.01779055278665838,0.07474641244455242,0.016470178848338964,0.0729458252721487,0.020425547476561463,0.07860663155908923
mu2_2p000__sigma_0p180,2.0,0.18,8.27,0.017821986043444597,0.07474672236861153,0.016492775888258204,0.07293953413129639,0.020473295412012652,0.07862056321112597
mu2_2p000__sigma_0p180,2.0,0.18,8.280000000000001,0.01785339247884453,0.0747357254467146,0.016515339603746095,0.072916435823548,0.0205210164853855,0.07863451753133953
mu2_2p000__sigma_0p180,2.0,0.18,8.290000000000001,0.01788477229952998,0.07473609646373425,0.016537870677334858,0.07291020807744732,0.02056871007725564,0.07864849514733918
mu2_2p000__sigma_0p180,2.0,0.18,8.3,0.01791612181659645,0.07473648818004881,0.01656036842015887,0.0729039987655803,0.02061636710685842,0.07866249450485048
mu2_2p000__sigma_0p180,2.0,0.18,8.31,0.017947443328050726,0.0747369001792041,0.01658283387836169,0.07289780836990441,0.02066399219436347,0.07867651333323163
mu2_2p000__sigma_0p180,2.0,0.18,8.32,0.01797873055273284,0.07473732837446702,0.016605267216715472,0.07289163631547402,0.020711567513969156,0.07869054031796642
mu2_2p000__sigma_0p180,2.0,0.18,8.33,0.01800998458289896,0.07474900955527627,0.016627667967151663,0.07290218033712001,0.02075909702063194,0.07870457599478592
mu2_2p000__sigma_0p180,2.0,0.18,8.34,0.0180412087348138,0.07474945433199938,0.01665003603644596,0.07289601937000267,0.02080659023672575,0.07871862677456454
mu2_2p000__sigma_0p180,2.0,0.18,8.35,0.018072405203631063,0.07474992016649792,0.01667237303806165,0.0728898766498393,0.020854050470056833,0.07873270079711572
